0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,classe
-736.732,136.619,25.177,241.337,-31.846,159.918,-43.937,-162.361,-13.900,238.623,161.077,-53.540,200.940,-174.624,176.494,118.331,-94.550,-77.480,-69.550,-30.638,333.489,-460.378,-378.733,32.117,0
-712.606,-42.669,128.127,292.290,129.884,-18.958,-71.315,29.532,-68.283,-69.900,67.329,34.208,165.409,254.998,-92.453,107.055,28.903,-15.727,-147.724,180.983,36.942,-6.011,-26,-153.878,0
-762.377,54.624,46.101,39.395,-16.225,-50.694,54.824,48.118,66.917,-165.521,-37.969,-94.124,-88.901,35.523,370.983,-126.783,40.418,-202.000,-180.954,-117.781,-297.699,261.835,261.531,321.979,0
-836.623,99.130,4.787,54.461,45.162,1.113,-29.154,-79.398,176.958,-11.729,123.009,-27.755,72.265,156.651,-194.096,-10.782,-12.507,104.875,-279.594,-2.592,177.791,487.873,-246.168,351.475,0
-794.234,217,63.235,51.893,-38.624,-3.718,140.088,-111.323,-70.138,126.873,-56.200,1.575,106.961,-128.865,-100.610,-102.585,86.444,-40.020,44.993,-51.416,327.691,-156.055,-4.397,-177.274,0
-671.209,258.384,53.203,60.634,86.759,-289.472,308.537,129.801,238.861,-200.123,191.330,292.125,195.728,-156.245,98.022,165.689,18.293,-172.712,-50.336,475.877,-167.175,435.973,-120.464,282.182,0
-851.914,5.168,34.532,148.254,-5.275,12.521,-16.507,-37.058,-81.090,15.447,7.644,53.930,132.431,-56.264,-125.775,38.925,-90.641,5.429,-11.639,14.382,188.352,-41.523,256.450,6.088,0
-669.566,-102.016,-91.351,42.370,-27.509,-124.291,55.081,164.177,-34.182,-114.017,122.229,-16.843,-112.239,-154.618,188.568,133.065,53.474,137.640,114.821,-115.102,-437.540,-125.025,-82.494,212.253,0
-789.243,26.754,-37.985,56.100,-117.514,-174.677,-17.575,-172.017,128.086,146.532,-35.242,102.681,18.425,88.214,-15.483,-287.706,86.104,-146.137,137.039,-136.588,470.400,-214.673,-238.452,32.899,0
-677.149,-146.288,69.360,533.008,198.861,-199.069,-314.724,175.866,19.369,-55.993,33.984,-57.753,239.444,333.947,-26.676,-203.334,-156.596,-81.199,-279.461,-197.892,-376.786,-188.573,-247.980,241.257,0
-861.941,21.358,32.223,121.117,35.161,32.447,54.364,-16.321,-5.384,25.051,31.137,60.031,111.951,9.351,77.896,-31.834,-17.954,70.757,-69.094,-51.839,31.626,-148.317,157.129,-12.348,0
-765.432,70.025,115.026,125.785,9.715,51.918,-9.532,-94.427,-32.897,-47.818,-37.848,-55.795,31.178,175.556,-52.288,148.332,-19.052,3.586,-77.989,201.366,196.386,112.997,287.165,135.404,0
-650.714,-185.993,156.630,181.234,77.323,179.345,360.226,-96.056,88.491,345.225,-3.666,-293.398,246.079,-60.122,54.279,92.420,-59.207,-45.329,-101.850,377.436,-193.015,165.489,-115.533,367.560,0
-888.222,68.698,18.117,88.343,82.736,-32.890,32.436,-63.209,-8.841,30.078,125.600,-77.632,58.982,34.830,-140.660,-124.936,67.788,175.659,20.968,9.774,119.946,442.696,289.723,-291.213,0
-793.820,56.685,-36.950,-18.936,-100.484,-148.735,677,-30.316,107.543,16.267,127.881,-32.755,-18.740,-10.849,-5.681,-128.942,118.466,-31.887,292.177,9.859,18.764,-274.787,70.711,-84.427,0
-650.660,41.711,-81.657,-32.899,-145.162,159.452,-12.359,143.359,-310.825,75.556,-28.149,310.932,610.464,-284.433,197.627,-25.015,143.813,-319.086,143.774,-321.019,651.650,-749.404,-301.481,-438.948,0
-860.475,-30.081,29.742,118.597,48.916,6.040,237,31.731,-100.265,9.843,-18.151,115.180,99.852,-74.431,-86.618,65.060,-94.986,-1.145,-85.279,-185.845,138.111,-38.833,-6.076,-206.566,0
-781.956,-162.635,14.896,-9.451,5.750,-283.664,61.043,122.481,-128.779,-58.283,-38.991,-216.163,-428.459,-68.703,-67.669,-376.078,-337.637,-157.386,594.904,178.003,-1.125.711,-814.428,-360.238,791.309,0
-830.055,36.084,55.677,104.189,137.168,2.940,83.165,-9.010,23.208,46.474,-41.671,-35.943,111.144,120.794,4.492,177.826,68.513,-75.502,-223.318,124.463,31.236,358.121,-265.373,57.149,0
-628.075,184.711,-86.103,-82.638,-239.290,30.918,-303.030,-120.964,281.155,-45.114,536.474,-150.554,122.407,-332.814,-241.142,153.325,-45.543,383.509,-122.208,594.015,-188.444,-108.914,15.237,-461.901,0
-701.139,226.451,91.836,98.743,65.555,-372.076,443.270,138.860,239.687,-81.354,-37.298,352.163,-42.534,-57.823,74.033,-52.267,-86.113,-287.834,46.389,141.424,-185.620,179.750,351.349,2.315,0
-748.833,-3.677,-36.878,-6.215,313.859,-78.180,118.866,-97.268,-162.518,-155.804,-204.212,-93.608,-95.049,-112.762,-263.054,59.666,112.028,56.647,-52.710,146.947,-33.429,446.056,1.907,3.865,0
-741.554,62.948,76.067,67.129,-49.461,305.317,-31.524,265.392,37.899,-134.672,29.665,31.396,87.090,40.046,123.054,-93.504,17.071,177.952,-243.081,-253.977,12.012,345.225,19.471,-172.356,0
-836.592,28.787,-10.978,95.235,-24.037,18.496,50.210,60.440,-48.300,21.659,84.644,-46.972,89.061,-34.003,-82.572,8.369,60.992,80.250,119.610,-338.799,-45.849,-46.640,-162.943,-227.164,0
-788.697,-47.069,26.106,218.892,116.212,-93.185,-144.513,121.274,17.118,-40.486,94.900,145.637,70.086,208.021,-333.510,-48.302,-78.090,112.587,-112.626,16.100,-12.750,231.294,-231.177,-39.965,0
-733.282,-17.896,-949,44.435,156.263,10.725,-56.270,-36.840,92.105,90.785,-162.512,-131.693,-14.692,-43.049,-23.144,121.614,-123.740,-47.243,-143.800,-25.278,-13.171,-91.224,44.063,-278.412,0
-805.516,-9.189,42.746,65.078,103.071,29.250,127.772,5.287,-51.688,132.828,-71.893,-175.550,167.948,67.374,-2.174,207.834,179.897,-233.454,-93.947,-29.408,-202.344,322.818,-212.357,-409.864,0
-739.572,1.698,-33.040,116.433,-234.943,324.372,154.027,274.703,-27.033,45.774,-295.629,122.750,141.201,-12.027,84.646,-112.378,7.342,-86.699,294.337,190.904,-142.911,-410.505,-202.006,466.765,0
-811.599,96.893,2.527,108.853,-63.885,40.727,-53.721,-71.822,-13.162,-47.686,117.096,115.799,148.016,-11.930,-95.282,28.639,35.981,111.566,-43.420,-232.076,316.160,-34.300,187.238,382.254,0
-815.649,-30.736,10.782,55.233,13.357,-42.930,21.987,11.769,-36.399,-66.612,189.126,163.417,127.009,237,61.961,47.738,63.957,65.770,24.979,144.013,2.272,128.461,171.085,-21.993,0
-783.993,83.950,77.702,-14.416,-37.972,23.270,92.276,-123.444,-139.191,-96.889,153.164,55.039,107.093,220.718,-112.627,32.155,-89.737,82.662,-158.265,-54.613,149.555,-160.325,80.172,-13.007,0
-883.986,34.381,52.401,113.186,100.530,14.858,47.952,-8.900,-218,46.216,43.836,133.203,276.890,65.643,-51.086,97.817,-18.263,29.254,-151.129,-6.588,-53.133,279.622,-11.765,-790.782,0
-834.363,51.146,-60.303,110.815,-98.995,203.848,-10.055,221.441,-53.542,-10.211,-78.406,414.155,126.573,130.069,-65.542,104.875,55.223,32.091,73.984,69.883,180.151,48.662,-355.288,201.674,0
-680.057,-49.244,89.175,276.977,-29.894,-10.263,83.350,-4.331,110.779,-101.754,-11.757,-136.371,-200.912,-119.518,361.181,350.502,192.776,-2.311,-258.964,-400.110,281.915,147.961,-397.554,143.545,0
-816.192,214.995,108.363,235.238,-57.364,134.360,-166.327,-303.151,-147.054,67.844,87.056,140.239,-57.335,-87.986,-4.940,-50.016,-398.848,50.309,102.361,-6.469,-74.546,138.669,74.711,45.348,0
-760.795,113.142,-4.254,92.634,10.815,81.639,-17.687,54.036,-121.064,94.034,98.373,-19.086,65.230,64.810,67.773,12.384,54.454,-96.682,-24.081,-284.544,64.664,-80.662,-226.761,19.397,0
-813.405,15.772,52.572,61.728,74.729,40.077,118.275,17.314,-23.567,16.879,-43.467,-62.406,38.757,53.264,-39.033,110.602,-14.568,-2.330,-134.092,-35.543,-28.750,214.501,-205.989,-82.993,0
-742.192,-25.399,-7.809,168.932,-90.918,-22.435,57.735,45.517,143.533,-57.653,99.272,64.270,-142.978,-32.820,190.270,502.191,289.715,186.123,-109.709,-98.048,170.619,-14.811,-465.046,-148.503,0
-793.339,45.478,-15.784,54.193,-10.464,-74.626,-9.177,-16.972,-91.534,48.806,88.871,-23.409,-10.376,-142.480,-49.098,-109.360,189.864,129.561,101.826,-310.771,157.274,-79.599,697.467,-171.511,0
-854.081,24.811,23.298,139.947,58.622,-21.522,20.524,18.990,-12.080,30.824,10.289,22.015,114.667,99.521,-111.878,157.347,45.271,-89.123,-113.257,-102.061,43.248,228.022,-403.716,-35.636,0
